Symbol	Definition	Category
MW	Molecular weight	Constitutional
AMW	Average molecular weight	Constitutional
Sv	Sum of atomic van der Waals volumes (scaled on Carbon atom)	Constitutional
Se	Sum of atomic Sanderson electronegativities (scaled on Carbon atom)	Constitutional
Sp	Sum of atomic polarizabilities (scaled on Carbon atom)	Constitutional
Ss	Sum of Kier-Hall electrotopological states	Constitutional
Mv	Mean atomic van der Waals volume (scaled on Carbon atom)	Constitutional
Me	Mean atomic Sanderson electronegativity (scaled on Carbon atom)	Constitutional
Mp	Mean atomic polarizability (scaled on Carbon atom)	Constitutional
Ms	Mean electrotopological state	Constitutional
nAT	Number of atoms	Constitutional
nSK	Number of non-H atoms	Constitutional
nBT	Number of bonds	Constitutional
nBO	Number of non-H bonds	Constitutional
nBM	Number of multiple bonds	Constitutional
SCBO	Sum of conventional bond orders (H-depleted)	Constitutional
ARR	Aromatic ratio	Constitutional
nCIC	Number of rings	Constitutional
nCIR	Number of circuits	Constitutional
nDB	Number of double bonds	Constitutional
nTB	Number of triple bonds	Constitutional
nAB	Number of aromatic bonds	Constitutional
nH	Number of Hydrogen atoms	Constitutional
nC	Number of Carbon atoms	Constitutional
nN	Number of Nitrogen atoms	Constitutional
nO	Number of Oxygen atoms	Constitutional
nP	Number of Phosphorous atoms	Constitutional
nS	Number of Sulfur atoms	Constitutional
nF	Number of Fluorine atoms	Constitutional
nCL	Number of Chlorine atoms	Constitutional
nBR	Number of Bromine atoms	Constitutional
nI	Number of Iodine atoms	Constitutional
nB	Number of Boron atoms	Constitutional
nX	Number of halogen atoms	Constitutional
nR03	Number of 3-membered rings	Constitutional
nR04	Number of 4-membered rings	Constitutional
nR05	Number of 5-membered rings	Constitutional
nR06	Number of 6-membered rings	Constitutional
nR07	Number of 7-membered rings	Constitutional
nR08	Number of 8-membered rings	Constitutional
nR09	Number of 9-membered rings	Constitutional
nR10	Number of 10-membered rings	Constitutional
nR11	Number of 11-membered rings	Constitutional
nR12	Number of 12-membered rings	Constitutional
nBnz	Number of benzene-like rings	Constitutional
x0	Simple zero order chi index	Chi Connectivity Indices 
x1	Simple 1st order chi index	Chi Connectivity Indices 
x2	Simple 2nd order chi index	Chi Connectivity Indices 
xp3	Simple 3rd order path chi index	Chi Connectivity Indices 
xp4	Simple 4th order path chi index	Chi Connectivity Indices 
xp5	Simple 5th order path chi index	Chi Connectivity Indices 
xp6	Simple 6th order path chi index	Chi Connectivity Indices 
xp7	Simple 7th order path chi index	Chi Connectivity Indices 
xp8	Simple 8th order path chi index	Chi Connectivity Indices 
xp9	Simple 9th order path chi index	Chi Connectivity Indices 
xp10	Simple 10th order path chi index	Chi Connectivity Indices 
xc3	Simple 3rd order cluster chi index	Chi Connectivity Indices 
