# The pricing table for Enamine products depending on the packaging and quantity
#
#

# Advanced
USD	1 to 10	11 to 50	51 - 75 	76 - 99 	100 - 499 	500 - 999 	1000 - 2999 	3000 - 4999 	5000 - 9999	10000 +
1 mg 	$82.00	$71,00	$53,00	$44.0	$42.00	$25,00	$19,00	$17,00	$15,00	$13,00
2 mg 	$84.00	$74,00	$57,00	$47.0	$44.00	$32,00	$27,00	$23,00	$21,00	$17,00
5 mg   	$89.00	$78,00	$63,00	$54.0	$47.00	$36,00	$32,00	$27,00	$23,00	$21,00
10 mg 	$116.00	$95,00	$67,00	$60.0	$53.00	$38,00	$34,00	$29,00	$25,00	$23,00
15 mg	$128.00	$108,00	$82,00	$71.0	$60.00	$53,00	$48.00	$43.00	$34,00	$32,00
20 mg	$139.00	$116,00	$92,00	$81.0	$69.00	$63,00	$57,00	$53,00	$40,00	$38,00
25 mg	$151.00	$133,00	$110,00	$96.0	$86.00	$80.00	$72,00	$64.00	$54.00	$47,00
30 mg	$162.00	$145,00	$122,00	$110.0	$102.00	$92,00	$82,00	$71,00	$63,00	$53,00
35 mg	$174.00	$151.00	$129.00	$116.0	$110.00	$98.00	$89.00	$79.00	$70.00	$59.00
40 mg	$187.00	$155.00	$133.00	$117.0	$111.00	$102.00	$93.00	$84.00	$74.00	$64.00
45 mg	$199.00	$159.00	$138.00	$119.0	$113.00	$106.00	$98.00	$89.00	$79.00	$68.00
50 mg	$212.00	$162,00	$141,00	$123.0	$114.00	$109,00	$101,00	$92,00	$82,00	$71,00
75 mg	$279.00	$203.00	$167.00	$155.0	$150.00	$151,00	$144.00	$138.00	$128.00	$112.00
100 mg	$353.00	$231,00	$185,00	$183.0	$182.00	$179,00	$172,00	$168,00	$158,00	$140,00

# HTC
USD	1 to 10	11 to 50	51 - 75 	76 - 99 	100 - 499 	500 - 999 	1000 - 2999 	3000 - 4999 	5000 - 9999	10000 +
1 mg 	$55.00	$48,00	$35,00	$29.00	$28.00	$17,00	$13,00	$11,00	$10,00	$8,00
2 mg 	$56.00	$49,00	$38,00	$31.00	$29.00	$21,00	$18,00	$15,00	$14,00	$11,00
5 mg   	$59.00	$52,00	$42,00	$36.00	$31.00	$24,00	$21,00	$18,00	$15,00	$14,00
10 mg 	$78.00	$63,00	$45,00	$40.00	$35.00	$25,00	$24,00	$20,00	$17,00	$15,00
15 mg	$85.00	$71,00	$55,00	$47.00	$40.00	$35,00	$32,00	$29,00	$23,00	$21,00
20 mg	$93.00	$77,00	$62,00	$54.00	$46.00	$42,00	$38,00	$35,00	$27,00	$25,00
25 mg	$100.00	$89,00	$73,00	$64.00	$57.00	$54,00	$48,00	$43,00	$36,00	$31,00
30 mg	$108.00	$97,00	$81,00	$73.00	$68.00	$62,00	$55,00	$48,00	$42,00	$35,00
35 mg	$116.00	$101,00	$86,00	$77.00	$73.00	$66,00	$59,00	$53,00	$47,00	$40,00
40 mg	$125.00	$104,00	$89,00	$78.00	$74.00	$69,00	$62,00	$56,00	$50,00	$43,00
45 mg	$133.00	$106,00	$92,00	$79.00	$75.00	$71,00	$65,00	$60,00	$53,00	$46,00
50 mg	$141.00	$108,00	$94,00	$82.00	$76.00	$73,00	$67,00	$62,00	$55,00	$48,00
75 mg	$186.00	$136,00	$111,00	$103.00	$100.00	$101,00	$96,00	$92,00	$85,00	$74,00
100 mg	$235.00	$154,00	$123,00	$122.00	$121.00	$119,00	$115,00	$112,00	$105,00	$92,00
